project_id,team_size_k,ilp_status,ilp_AE,ilp_AT,ilp_AC,ilp_time_s,ilp_mip_gap_pct,ga_best_AE,ga_best_AT,ga_best_AC,ga_best_seed,ga_total_time_30_runs_s,ga_mean_time_per_run_s,ga_n_runs,AE_difference_ILP_minus_GA,gap_pct,winner_quality
P11,8,Optimal,0.800926,0.84127,0.792857,43.62,0.0,0.80092595,0.84127,0.79285714,20,176.324062,5.877469,30,5e-08,6e-06,TIE
P12,8,Optimal,0.824074,0.873016,0.814286,1280.24,0.0,0.8240741,0.873016,0.81428571,5,175.089596,5.83632,30,-1e-07,0.0,TIE
P2,8,Optimal,0.803571,0.857143,0.792857,478.3,0.0,0.80357145,0.857143,0.79285714,3,188.377238,6.279241,30,-4.5e-07,0.0,TIE
P3,8,Optimal,0.814815,0.81746,0.814286,978.89,0.0,0.81481485,0.8174605,0.81428571,23,163.109695,5.43699,30,1.5e-07,1.8e-05,TIE
P4,8,Optimal,0.815476,0.857143,0.807143,53.53,0.0,0.81547621,0.857143,0.80714286,14,152.480794,5.082693,30,-2.1e-07,0.0,TIE
P5,8,Optimal,0.812831,0.84127,0.807143,52.38,0.0,0.81283071,0.84127,0.80714286,1,171.762547,5.725418,30,2.9e-07,3.6e-05,TIE
P6,8,Optimal,0.791005,0.817461,0.785714,384.06,0.0,0.79100532,0.8174605,0.78571429,7,188.728393,6.290946,30,-3.2e-07,0.0,TIE
P7,8,Optimal,0.832341,0.851191,0.828571,1166.38,0.0,0.83234129,0.85119061,0.82857143,4,192.025751,6.400858,30,-2.9e-07,0.0,TIE
P8,8,Optimal,0.804894,0.86508,0.792857,549.35,0.0,0.8048942,0.8650795,0.79285714,8,457.017591,15.23392,30,-2e-07,0.0,TIE
P9,8,Optimal,0.834921,0.833334,0.842857,1297.69,0.0,0.83492077,0.8333335,0.84285714,4,367.886498,12.262883,30,2.3e-07,2.8e-05,TIE
P1,9,Optimal,0.788096,0.785715,0.8,62.24,0.0,0.78809537,0.78571444,0.8,1,196.441811,6.54806,30,6.3e-07,8e-05,TIE
P10,9,Optimal,0.820106,0.865079,0.811111,1362.47,0.0,0.82010584,0.8650795,0.81111111,1,180.04835,6.001612,30,1.6e-07,2e-05,TIE
P11,9,Optimal,0.787037,0.833333,0.777778,72.72,0.0,0.78703706,0.8333335,0.77777778,13,186.218244,6.207275,30,-6e-08,0.0,TIE
P12,9,Optimal,0.812169,0.873016,0.8,1312.22,0.0,0.81216933,0.873016,0.8,16,190.502931,6.350098,30,-3.3e-07,0.0,TIE
P2,9,Optimal,0.749339,0.857143,0.727778,2543.72,0.0,0.74933865,0.857143,0.72777778,8,185.909171,6.196972,30,3.5e-07,4.7e-05,TIE
P3,9,Optimal,0.80291,0.81746,0.8,1656.14,0.0,0.80291008,0.8174605,0.8,21,186.557555,6.218585,30,-8e-08,0.0,TIE
P4,9,Optimal,0.806217,0.809524,0.805556,56.6,0.0,0.8048942,0.857143,0.79444444,1,162.793326,5.426444,30,0.0013228,0.164075,ILP
P5,9,Optimal,0.811508,0.84127,0.805556,61.12,0.0,0.81150796,0.84127,0.80555556,3,176.007449,5.866915,30,4e-08,5e-06,TIE
P6,9,Optimal,0.793651,0.817461,0.788889,308.29,0.0,0.78902119,0.8174605,0.78333333,3,194.756276,6.491876,30,0.00462981,0.583356,ILP
P7,9,Optimal,0.817791,0.851191,0.811111,1154.99,0.0,0.81779103,0.85119061,0.81111111,4,179.139567,5.971319,30,-3e-08,0.0,TIE
P8,9,Optimal,0.750662,0.86508,0.727778,3034.62,0.0,0.7506614,0.8650795,0.72777778,20,185.883943,6.196131,30,6e-07,8e-05,TIE
P9,9,Optimal,0.819445,0.833333,0.816667,1468.3,0.0,0.81944447,0.8333335,0.81666667,7,187.885475,6.262849,30,5.3e-07,6.5e-05,TIE
P1,10,Optimal,0.784656,0.785714,0.784444,72.31,0.009,0.78465612,0.7857145,0.78444444,10,288.335585,9.611186,30,-1.2e-07,0.0,TIE
P10,10,Optimal,0.805291,0.86508,0.793333,913.51,0.0,0.80529103,0.8650795,0.79333333,3,204.433895,6.814463,30,-3e-08,0.0,TIE
P11,10,Optimal,0.777778,0.833333,0.766667,94.96,0.0,0.77777781,0.8333335,0.76666667,5,223.731344,7.457711,30,1.9e-07,2.4e-05,TIE
P12,10,Optimal,0.796561,0.857143,0.784444,1579.65,0.0,0.79656087,0.857143,0.78444444,26,207.653829,6.921794,30,1.3e-07,1.6e-05,TIE
P2,10,Optimal,0.720635,0.912698,0.682222,6614.07,0.0,0.71746036,0.7380955,0.71333333,23,323.143607,10.771454,30,0.00317464,0.440534,ILP
