projeto,modo,status,AT,AC,AE,tempo_s,must_dom_ok,must_eco_ok,must_ling_ok,metodo,seed,fitness_final,AE_raw_surrogate,all_must_ok,best_generation,gens_executed,stop_reason,dom_score,eco_score,ling_score,population_size,generations,elitism_count,mutation_rate,crossover_rate,stable_gens,crossover_operator,team_size_testado
P1,AE_FULL_SURROGATE,OK,0.7857144444444444,0.8333333333333334,0.7936509259259258,9.701658,True,True,True,GA_CALIBRADO_CCC,22,0.7936509259259258,0.7936509259259258,True,37,57,stable_gens_no_improve,0.6428575,0.5,0.9285715,150,200,3,0.005,1.0,20,ccc,4
P1,AE_FULL_SURROGATE,OK,0.9126985,0.8,0.8187830833333334,8.38504,True,True,True,GA_CALIBRADO_CCC,23,0.8187830833333334,0.8187830833333334,True,22,42,stable_gens_no_improve,0.857143,1.0,0.9285715,150,200,3,0.005,1.0,20,ccc,4
P1,AE_FULL_SURROGATE,OK,0.7857144444444444,0.9,0.8047620370370371,10.810609,True,True,True,GA_CALIBRADO_CCC,24,0.8047620370370371,0.8047620370370371,True,40,60,stable_gens_no_improve,0.6428575,0.5,0.9285715,150,200,3,0.005,1.0,20,ccc,4
P1,AE_FULL_SURROGATE,OK,0.9126985,0.8,0.8187830833333334,7.740739,True,True,True,GA_CALIBRADO_CCC,25,0.8187830833333334,0.8187830833333334,True,29,49,stable_gens_no_improve,0.857143,1.0,0.9285715,150,200,3,0.005,1.0,20,ccc,4
P1,AE_FULL_SURROGATE,OK,0.9126985,0.8,0.8187830833333334,4.401675,True,True,True,GA_CALIBRADO_CCC,26,0.8187830833333334,0.8187830833333334,True,7,27,stable_gens_no_improve,0.857143,1.0,0.9285715,150,200,3,0.005,1.0,20,ccc,4
P1,AE_FULL_SURROGATE,OK,0.7857144444444444,0.9,0.8047620370370371,10.5379,True,True,True,GA_CALIBRADO_CCC,27,0.8047620370370371,0.8047620370370371,True,55,75,stable_gens_no_improve,0.6428575,0.5,0.9285715,150,200,3,0.005,1.0,20,ccc,4
P1,AE_FULL_SURROGATE,OK,0.7857144444444444,0.8666666666666667,0.7992064814814815,7.345856,True,True,True,GA_CALIBRADO_CCC,28,0.7992064814814815,0.7992064814814815,True,30,50,stable_gens_no_improve,0.6428575,0.5,0.9285715,150,200,3,0.005,1.0,20,ccc,4
P1,AE_FULL_SURROGATE,OK,0.84127,0.7666666666666666,0.7791005555555555,6.286783,True,True,True,GA_CALIBRADO_CCC,29,0.7791005555555555,0.7791005555555555,True,17,37,stable_gens_no_improve,0.6428575,1.0,0.9285715,150,200,3,0.005,1.0,20,ccc,4
P1,AE_FULL_SURROGATE,OK,0.8650795,0.6333333333333333,0.6719576944444444,4.641189,True,True,True,GA_CALIBRADO_CCC,30,0.6719576944444444,0.6719576944444444,True,19,39,stable_gens_no_improve,0.6428575,0.857143,1.0,150,200,3,0.005,1.0,20,ccc,4
P2,AE_FULL_SURROGATE,OK,0.7380955,0.6333333333333333,0.6507936944444445,6.941028,True,True,True,GA_CALIBRADO_CCC,1,0.6507936944444445,0.6507936944444445,True,27,47,stable_gens_no_improve,0.857143,0.857143,0.6428575,150,200,3,0.005,1.0,20,ccc,4
P2,AE_FULL_SURROGATE,OK,0.857143,0.7333333333333334,0.7539682777777778,12.139737,True,True,True,GA_CALIBRADO_CCC,2,0.7539682777777778,0.7539682777777778,True,49,69,stable_gens_no_improve,0.857143,0.857143,0.857143,150,200,3,0.005,1.0,20,ccc,4
