project,team_size_tested,n_runs,n_valid_runs,valid_rate,best_AE,best_AT,best_AC,best_seed,best_time_s,AE_mean,AE_median,AE_std,AT_mean,AC_mean,time_total_s,time_mean_s,time_median_s,stop_reason_best
P1,5,30,30,1,0.68876679,0.73260073,0.68,2,28.592312,0.6737773,0.68150183,0.01703593,0.90099715,0.62833333,749.706142,24.990205,23.749585,stable_gens_no_improve
P2,5,30,30,1,0.73153236,0.88919414,0.7,1,29.132098,0.68685457,0.66483516,0.03853038,0.87446072,0.64933333,723.993707,24.133124,23.101215,stable_gens_no_improve
P3,5,30,30,1,0.70953398,0.90720391,0.67,4,28.202549,0.6723545,0.68625356,0.02794597,0.84246032,0.63833333,507.010529,16.900351,16.667426,stable_gens_no_improve
P4,5,30,30,1,0.71075499,0.91452991,0.67,3,17.265275,0.6972212,0.69916565,0.01464901,0.89499389,0.65766667,641.918695,21.39729,20.545042,stable_gens_no_improve
P5,5,30,30,1,0.70037648,0.85225885,0.67,3,13.095133,0.67327556,0.67772182,0.01803598,0.85465337,0.637,537.258096,17.908603,15.671603,stable_gens_no_improve
P6,5,30,30,1,0.6774013,0.81440781,0.65,10,37.987662,0.645504,0.64409849,0.01812046,0.94635735,0.58533333,709.750108,23.658337,22.597981,stable_gens_no_improve
P7,5,30,30,1,0.74791412,0.98748474,0.7,30,20.893749,0.73274556,0.73983516,0.0092664,0.99147334,0.681,458.414581,15.280486,15.18322,stable_gens_no_improve
P8,5,30,30,1,0.74196174,0.95177045,0.7,7,31.473351,0.68565222,0.67392145,0.03418269,0.96724664,0.62933333,395.590058,13.186335,12.330728,stable_gens_no_improve
P9,5,30,30,1,0.7295584,0.92735043,0.69,14,9.884643,0.72400861,0.7250407,0.00671182,0.96405169,0.676,318.796093,10.626536,10.338759,stable_gens_no_improve
P10,5,30,30,1,0.74166667,1,0.69,1,10.972671,0.72877255,0.74166667,0.01998243,0.99430199,0.67566667,309.542547,10.318085,10.165948,stable_gens_no_improve
P11,5,30,30,1,0.71573057,0.89438339,0.68,2,10.21329,0.6731763,0.67022283,0.01824024,0.91072446,0.62566667,357.681322,11.922711,11.776595,stable_gens_no_improve
P12,5,30,30,1,0.73099308,0.98595849,0.68,1,16.976157,0.69045788,0.69166667,0.02137294,0.96941392,0.63466667,350.131566,11.671052,11.376846,stable_gens_no_improve
