project,team_size_tested,n_runs,n_valid_runs,valid_rate,best_AE,best_AT,best_AC,best_seed,best_time_s,AE_mean,AE_median,AE_std,AT_mean,AC_mean,time_total_s,time_mean_s,time_median_s,stop_reason_best
P1,6,30,30,1,0.68811559,0.86202686,0.65333333,23,25.338954,0.65696446,0.64981685,0.01943087,0.90400895,0.60755556,365.496677,12.183223,11.582079,stable_gens_no_improve
P2,6,30,30,1,0.72423687,0.91208791,0.68666667,7,20.167667,0.66714828,0.65962047,0.03178631,0.90844526,0.61888889,399.879347,13.329312,12.444129,stable_gens_no_improve
P3,6,30,30,1,0.71231176,0.90720391,0.67333333,13,17.197716,0.67176638,0.67299044,0.02161974,0.87393162,0.63133333,414.35921,13.811974,13.289331,stable_gens_no_improve
P4,6,30,30,1,0.71225071,0.94017094,0.66666667,20,10.0345,0.69426876,0.69839235,0.01647055,0.92450142,0.64822222,345.860142,11.528671,11.037695,stable_gens_no_improve
P5,6,30,30,1,0.70189934,0.84472934,0.67333333,21,15.550132,0.67981368,0.68052503,0.01746277,0.87221544,0.64133333,416.594737,13.886491,13.837916,stable_gens_no_improve
P6,6,30,30,1,0.68573464,0.81440781,0.66,6,15.106173,0.65251899,0.65331705,0.02313906,0.94066952,0.59488889,451.230101,15.041003,14.089875,stable_gens_no_improve
P7,6,30,30,1,0.73705739,0.98901099,0.68666667,19,14.281848,0.72396622,0.72408425,0.00820133,0.99157509,0.67044444,391.521926,13.050731,13.3589,stable_gens_no_improve
P8,6,30,30,1,0.73466626,0.97466422,0.68666667,2,24.589233,0.68861315,0.67777778,0.03125951,0.96834554,0.63266667,411.358184,13.711939,12.80385,stable_gens_no_improve
P9,6,30,30,1,0.72743183,0.96459096,0.68,2,10.789154,0.72103141,0.72222222,0.00712071,0.971744,0.67088889,401.876966,13.395899,13.470738,stable_gens_no_improve
P10,6,30,30,1,0.73888889,1,0.68666667,1,22.736564,0.72126272,0.72777778,0.01890535,0.99868742,0.66577778,374.597619,12.486587,11.691766,stable_gens_no_improve
P11,6,30,30,1,0.72128612,0.89438339,0.68666667,2,13.725735,0.6692735,0.66431624,0.02101972,0.93119658,0.61688889,384.594544,12.819818,12.977027,stable_gens_no_improve
P12,6,30,30,1,0.7216219,0.96306471,0.67333333,23,24.050362,0.68656627,0.68638075,0.02349009,0.96161986,0.63155556,381.463401,12.715447,11.964883,stable_gens_no_improve
P1,7,30,30,1,0.68732194,0.86202686,0.65238095,5,21.294517,0.6630715,0.66844729,0.02450452,0.89350834,0.61698413,466.676007,15.555867,14.617567,stable_gens_no_improve
P2,7,30,30,1,0.70757021,0.91208791,0.66666667,3,16.707831,0.6755715,0.67562068,0.02949487,0.89073057,0.63253968,472.160881,15.738696,15.383987,stable_gens_no_improve
P3,7,30,30,1,0.70675621,0.90720391,0.66666667,13,11.63013,0.67064001,0.6733313,0.02284998,0.91272894,0.62222222,408.968539,13.632285,12.958949,stable_gens_no_improve
P4,7,30,30,1,0.71041921,0.95299145,0.66190476,1,17.597679,0.69268417,0.69785307,0.01232765,0.92515263,0.64619048,392.682619,13.089421,13.560681,stable_gens_no_improve
P5,7,30,30,1,0.70136345,0.92246642,0.65714286,10,6.444026,0.67952675,0.68101343,0.01168555,0.90890653,0.63365079,157.842401,5.261413,5.169358,stable_gens_no_improve
P6,7,30,30,1,0.68732194,0.81440781,0.66190476,1,5.679951,0.65178063,0.65730566,0.02829045,0.9471917,0.59269841,169.473331,5.649111,5.368239,stable_gens_no_improve
P7,7,30,30,1,0.72435897,0.98901099,0.67142857,1,4.976655,0.71640212,0.72039072,0.01025597,0.99047619,0.6615873,402.505366,13.416846,14.013096,stable_gens_no_improve
P8,7,30,30,1,0.72013635,0.98748474,0.66666667,1,21.615267,0.68035206,0.66865079,0.02780515,0.99242979,0.61793651,500.433131,16.681104,15.614536,stable_gens_no_improve
P9,7,30,30,1,0.72425722,0.96459096,0.67619048,18,14.831631,0.71076686,0.71807591,0.01260568,0.98682336,0.65555556,421.102248,14.036742,13.782336,stable_gens_no_improve
P10,7,30,30,1,0.72619048,1,0.67142857,1,11.723382,0.71772487,0.72222222,0.01211166,1,0.66126984,409.056127,13.635204,13.087492,stable_gens_no_improve
P11,7,30,30,1,0.69464794,0.97741148,0.63809524,24,21.048208,0.67546296,0.67961437,0.0130329,0.96706349,0.61714286,458.795802,15.293193,15.604802,stable_gens_no_improve
P12,7,30,30,1,0.71988197,0.98595849,0.66666667,15,15.542735,0.67875119,0.67646011,0.02678727,0.97171347,0.62015873,421.796122,14.059871,13.709395,stable_gens_no_improve
P1,8,30,30,1,0.688314,0.86202686,0.65357143,5,19.900368,0.66344119,0.66544567,0.01950419,0.92350427,0.61142857,605.262783,20.175426,19.210694,stable_gens_no_improve
P2,8,30,30,1,0.69070513,0.91208791,0.64642857,12,19.009068,0.65624406,0.6529304,0.01927934,0.96127391,0.5952381,476.713494,15.89045,15.346736,stable_gens_no_improve
P3,8,30,30,1,0.68795788,0.96703297,0.63214286,9,13.506277,0.66570937,0.66915954,0.01952015,0.90913716,0.61702381,469.128331,15.637611,14.676713,stable_gens_no_improve
P4,8,30,30,1,0.70347477,0.95299145,0.65357143,14,18.304065,0.68647148,0.6889245,0.01292617,0.93728124,0.63630952,500.31678,16.677226,16.207481,stable_gens_no_improve
P5,8,30,30,1,0.70093101,0.93772894,0.65357143,17,18.94263,0.67993262,0.67977971,0.01829853,0.92721476,0.63047619,546.51469,18.217156,17.730797,stable_gens_no_improve
P6,8,30,30,1,0.69027269,0.92735043,0.64285714,3,23.441786,0.6580196,0.65688594,0.02340938,0.95645096,0.59833333,561.052481,18.701749,17.829754,stable_gens_no_improve
P7,8,30,30,1,0.71840659,0.98901099,0.66428571,13,18.469334,0.70629579,0.71245421,0.01231043,0.99194139,0.64916667,461.647145,15.388238,14.63516,stable_gens_no_improve
P8,8,30,30,1,0.68327737,0.97466422,0.625,10,16.353072,0.656473,0.6547619,0.01732025,0.98288563,0.59119048,499.598623,16.653287,15.975642,stable_gens_no_improve
P9,8,30,30,1,0.72028897,0.96459096,0.67142857,5,17.465161,0.70488316,0.70716321,0.01283218,0.98822751,0.64821429,526.793865,17.559795,17.444371,stable_gens_no_improve
P10,8,30,30,1,0.7202381,1,0.66428571,12,19.973834,0.70555556,0.71279762,0.0164802,1,0.64666667,429.623387,14.32078,14.272771,stable_gens_no_improve
P11,8,30,30,1,0.69266382,0.97741148,0.63571429,17,14.878829,0.67066884,0.67415802,0.01650927,0.9752035,0.6097619,516.647935,17.221598,17.52072,stable_gens_no_improve
P12,8,30,30,1,0.71130952,1,0.65357143,12,18.80069,0.68192918,0.68293396,0.0178568,0.971337,0.62404762,550.792564,18.359752,17.268868,stable_gens_no_improve
P1,9,30,30,1,0.683023,0.86202686,0.64722222,2,24.464122,0.65772622,0.65315934,0.01831542,0.92598698,0.60407407,636.047306,21.201577,20.904367,stable_gens_no_improve
P2,9,30,30,1,0.66714998,0.98901099,0.60277778,11,21.013439,0.64690001,0.64863146,0.0116967,0.9786223,0.58055556,604.188767,20.139626,20.116376,stable_gens_no_improve
P3,9,30,30,1,0.68432031,0.96703297,0.62777778,1,22.934943,0.66965727,0.67506105,0.01469449,0.93229548,0.61712963,561.955745,18.731858,18.84153,stable_gens_no_improve
P4,9,30,30,1,0.69818376,0.95299145,0.64722222,10,16.09833,0.67982211,0.68199278,0.01672692,0.95624746,0.62453704,523.850481,17.461683,16.369691,stable_gens_no_improve
P5,9,30,30,1,0.69795482,0.93772894,0.65,1,22.789061,0.67940295,0.67737586,0.01321092,0.94215846,0.62685185,544.529618,18.150987,17.28422,stable_gens_no_improve
P6,9,30,30,1,0.68928063,0.92735043,0.64166667,16,18.053325,0.65903626,0.66095594,0.02019986,0.95560643,0.59972222,626.62757,20.887586,19.711523,stable_gens_no_improve
P7,9,30,30,1,0.71113146,0.98901099,0.65555556,1,24.045521,0.70138974,0.70650183,0.01434057,0.99120879,0.64342593,540.82094,18.027365,18.403116,stable_gens_no_improve
P8,9,30,30,1,0.67615486,0.98748474,0.61388889,4,25.881754,0.65574718,0.65046296,0.0122541,0.99281644,0.58833333,552.431438,18.414381,17.895716,stable_gens_no_improve
P9,9,30,30,1,0.71064815,1,0.65277778,7,22.668072,0.69737909,0.70023148,0.01310233,0.99307082,0.63824074,526.773308,17.55911,17.35177,stable_gens_no_improve
P10,9,30,30,1,0.71296296,1,0.65555556,3,14.504566,0.70169753,0.70833333,0.01425361,1,0.64203704,485.065823,16.168861,14.652449,stable_gens_no_improve
P11,9,30,30,1,0.69530932,0.97741148,0.63888889,17,18.58494,0.67088251,0.67189408,0.01486041,0.96788767,0.61148148,562.991257,18.766375,18.154316,stable_gens_no_improve
P12,9,30,30,1,0.70599308,0.98595849,0.65,6,15.223272,0.6793973,0.68713116,0.02095296,0.9763838,0.62,521.325817,17.377527,17.09431,stable_gens_no_improve
P1,10,30,30,1,0.67885633,0.86202686,0.64222222,4,14.389168,0.65500814,0.65454823,0.01649895,0.9456044,0.59688889,636.112165,21.203739,21.87368,stable_gens_no_improve
P2,10,30,30,1,0.65185185,1,0.58222222,4,23.215199,0.63510311,0.63335368,0.00849686,0.96284086,0.56955556,596.087152,19.869572,19.900751,stable_gens_no_improve
P3,10,30,30,1,0.68339438,0.96703297,0.62666667,11,15.225502,0.65902727,0.66408221,0.02223126,0.93638584,0.60355556,617.703332,20.590111,19.7513,stable_gens_no_improve
P4,10,30,30,1,0.69216524,0.95299145,0.64,12,20.288597,0.67435355,0.6780525,0.01501793,0.94908425,0.61940741,492.296692,16.40989,16.994245,stable_gens_no_improve
P5,10,30,30,1,0.69517705,0.93772894,0.64666667,5,41.684422,0.67295369,0.67043142,0.01235175,0.94883327,0.61777778,605.089526,20.169651,18.169888,stable_gens_no_improve
P6,10,30,30,1,0.68974359,0.92735043,0.64222222,10,30.165788,0.66662834,0.6728022,0.01929478,0.94754782,0.61044444,693.955681,23.131856,22.520192,stable_gens_no_improve
P7,10,30,30,1,0.70555556,1,0.64666667,21,15.833052,0.69272962,0.69722222,0.01122792,0.99267399,0.63274074,557.148382,18.571613,18.203705,stable_gens_no_improve
P8,10,30,30,1,0.65925926,1,0.59111111,15,21.474951,0.64264008,0.64444444,0.0114807,0.97065527,0.57703704,627.867983,20.928933,20.354591,stable_gens_no_improve
P9,10,30,30,1,0.70555556,1,0.64666667,7,23.847125,0.68888651,0.68888889,0.00903655,0.99480057,0.6277037,602.960601,20.098687,20.716546,stable_gens_no_improve
P10,10,30,30,1,0.70555556,1,0.64666667,9,15.845407,0.69617284,0.7,0.01074429,1,0.63540741,557.424337,18.580811,18.39266,stable_gens_no_improve
P11,10,30,30,1,0.69067969,0.97741148,0.63333333,4,20.438853,0.66533238,0.66744505,0.01483669,0.97792023,0.60281481,582.776528,19.425884,19.055649,stable_gens_no_improve
P12,10,30,30,1,0.70185185,1,0.64222222,6,17.240713,0.67303656,0.67652116,0.01795435,0.97599715,0.61244444,631.508071,21.050269,19.452237,stable_gens_no_improve
P1,12,30,30,1,0.66792929,1,0.60151515,1,31.572137,0.64936314,0.6547064,0.01288132,0.96764347,0.58570707,621.792752,20.726425,21.511879,stable_gens_no_improve
P2,12,30,30,1,0.64233914,0.92979243,0.58484848,24,30.137165,0.62810446,0.62815657,0.00603691,0.99312169,0.55510101,661.929264,22.064309,23.225178,stable_gens_no_improve
P3,12,30,30,1,0.6775863,0.96703297,0.61969697,19,25.500284,0.654919,0.65864691,0.01417379,0.95400895,0.59510101,662.090392,22.06968,22.113912,stable_gens_no_improve
P4,12,30,30,1,0.68408443,0.95299145,0.63030303,12,27.274663,0.66211335,0.66117216,0.01481353,0.95879121,0.60277778,615.67681,20.52256,21.51989,stable_gens_no_improve
P5,12,30,30,1,0.68567852,0.96255596,0.63030303,9,26.739638,0.66559706,0.66332433,0.01242588,0.95368335,0.6079798,611.260278,20.375343,19.996543,stable_gens_no_improve
P6,12,30,30,1,0.6721288,0.96459096,0.61363636,21,29.894421,0.65824191,0.6622706,0.01456196,0.9537444,0.59914141,737.81116,24.593705,23.749806,stable_gens_no_improve
P7,12,30,30,1,0.69261294,0.98901099,0.63333333,21,17.49636,0.68098244,0.68503719,0.0077811,0.9952381,0.61813131,621.999938,20.733331,20.412802,stable_gens_no_improve
P8,12,30,30,1,0.63888889,1,0.56666667,12,30.866707,0.62933209,0.62925038,0.00688961,0.99063899,0.55707071,669.459541,22.315318,21.918401,stable_gens_no_improve
P9,12,30,30,1,0.68854294,0.96459096,0.63333333,26,22.96977,0.67691121,0.67929293,0.00814613,0.99480057,0.61333333,632.004474,21.066816,22.330861,stable_gens_no_improve
P10,12,30,30,1,0.69444444,1,0.63333333,1,20.489862,0.68417508,0.68686869,0.00991374,1,0.6210101,647.696869,21.589896,21.325012,stable_gens_no_improve
P11,12,30,30,1,0.68184131,0.97741148,0.62272727,4,27.642899,0.66381011,0.66353323,0.0125872,0.98361823,0.59984848,642.009934,21.400331,21.551425,stable_gens_no_improve
P12,12,30,30,1,0.68057868,0.97741148,0.62121212,27,29.878665,0.66513672,0.67045455,0.01345141,0.98223443,0.60171717,687.215541,22.907185,22.024863,stable_gens_no_improve
