project,team_size_tested,metodo,status,AT,AC_original,AC_after_compression,AE,time_s,mip_gap_pct,best_bound,must_dom_ok,must_eco_ok,must_ling_ok,all_must_ok,ilp_suffered
P6,9,ILP,Optimal,0.92735,0.788889,0.644444,0.691595,319.22,0,0.358262108262108,true,true,true,true,false
P7,9,ILP,Optimal,0.989011,0.811111,0.655556,0.711132,766.01,0,0.377798127798127,true,true,true,true,false
P8,9,ILP,Optimal,0.987485,0.727778,0.613889,0.676155,1215.75,0,0.34282153032153,true,true,true,true,false
P9,9,ILP,Optimal,1,0.805556,0.652778,0.710648,684.47,0,0.377314814814814,true,true,true,true,false
P10,9,ILP,Optimal,1,0.811111,0.655556,0.712963,2380.05,0,0.379629629629629,true,true,true,true,false
P11,9,ILP,Optimal,0.977411,0.777778,0.638889,0.695309,107.48,0,0.361975986975987,true,true,true,true,false
P12,9,ILP,Optimal,1,0.794444,0.647222,0.706018,513.69,0,0.372685185185185,true,true,true,true,false
P1,10,ILP,Optimal,0.862027,0.784444,0.642222,0.678856,68.05,0,0.345522995522995,true,true,true,true,false
P2,10,ILP,Feasible (decomp: A=Optimal; B=Feasible (time limit)),1,0.668889,0.584444,0.653703,4354.62,5.7286,0.338723151067352,true,true,true,true,true
P3,10,ILP,Optimal,0.952991,0.762222,0.631111,0.684758,1906.33,0,0.3514245014245,true,true,true,true,false
P4,10,ILP,Optimal,0.952991,0.78,0.64,0.692165,94.04,0,0.358831908831908,true,true,true,true,false
P5,10,ILP,Optimal,0.937729,0.793333,0.646667,0.695177,103.48,0,0.361843711843711,true,true,true,true,false
P6,10,ILP,Optimal,0.92735,0.784444,0.642222,0.689743,545.39,0,0.356410256410256,true,true,true,true,false
P7,10,ILP,Optimal,1,0.793333,0.646667,0.705556,2414.11,0,0.372222222222222,true,true,true,true,false
P8,10,ILP,Optimal,1,0.682222,0.591111,0.659259,5359.81,0,0.325925925925925,true,true,true,true,false
P9,10,ILP,Optimal,1,0.793333,0.646667,0.705556,1548.04,0,0.372222222222222,true,true,true,true,false
P10,10,ILP,Optimal,1,0.793333,0.646667,0.705556,1011.77,0,0.372222222222222,true,true,true,true,false
P11,10,ILP,Optimal,0.977411,0.766667,0.633333,0.690679,119.09,0,0.357346357346357,true,true,true,true,false
P12,10,ILP,Optimal,1,0.784444,0.642222,0.701852,1145.2,0,0.368518518518518,true,true,true,true,false
P1,12,ILP,Optimal,1,0.70303,0.601515,0.667929,150.6,0,0.334595959595959,true,true,true,true,false
P2,12,ILP,Feasible (decomp: A=Optimal; B=Feasible (time limit)),0.929792,0.669697,0.584848,0.642339,5596.57,6.9317,0.330425244452574,true,true,true,true,true
P3,12,ILP,Optimal,0.967033,0.739394,0.619697,0.677586,4978.03,0,0.344252969252969,true,true,true,true,false
P4,12,ILP,Optimal,0.952991,0.760606,0.630303,0.684084,64.41,0,0.3507511007511,true,true,true,true,false
P5,12,ILP,Optimal,0.962556,0.760606,0.630303,0.685678,65.05,0,0.352345185678519,true,true,true,true,false
P6,12,ILP,Optimal,0.964591,0.727273,0.613636,0.672129,1327.26,0,0.338795463795463,true,true,true,true,false
P7,12,ILP,Optimal,0.989011,0.766667,0.633333,0.692613,1051.1,0,0.359279609279609,true,true,true,true,false
P8,12,ILP,Feasible (decomp: A=Optimal; B=Feasible (time limit)),1,0.645455,0.572727,0.643939,4954.92,4.1231,0.323412526889285,true,true,true,true,true
P9,12,ILP,Optimal,0.964591,0.766667,0.633333,0.688543,1577.78,0,0.355209605209605,true,true,true,true,false
P10,12,ILP,Optimal,1,0.766667,0.633333,0.694444,1237.63,0,0.361111111111111,true,true,true,true,false
P11,12,ILP,Optimal,0.977411,0.745455,0.622727,0.681841,83.6,0,0.348507973507973,true,true,true,true,false
P12,12,ILP,Optimal,0.977411,0.748485,0.624242,0.683104,3140.97,0,0.349770599770599,true,true,true,true,false
