stratum,configurations,milp_certified,milp_feasible_uncertified,ga_matches_returned_milp,milp_returned_higher,ga_returned_higher,ga_runs,ga_feasible_runs,mean_absolute_AE_difference,max_absolute_AE_difference,mean_signed_relative_difference_pct,milp_time_mean_s,milp_time_median_s,ga_time_mean_per_run_s,ga_time_mean_30_runs_s,ga_mean_AE_across_instances,ga_within_instance_std_median,ga_within_instance_std_min,ga_within_instance_std_max
5,12,12,0,10,2,0,360,360,0.001228833333333333333333333333,0.00833333,0.1670661453265875445117948908,100.1541666666666666666666667,110.50,16.83275958333333333333333333,504.982787,0.6903166875,0.01818035,0.00671182,0.03853038
6,12,12,0,10,2,0,360,360,0.001104276666666666666666666667,0.00769229,0.152701639886648001856096395,261.3583333333333333333333333,168.71,13.16342458333333333333333333,394.9027378333333333333333333,0.686099485,0.020225295,0.00712071,0.03178631
7,12,12,0,8,4,0,360,360,0.0026797475,0.02167306,0.3752054240750845562815168942,208.30,272.85,13.00414608333333333333333333,390.1243811666666666666666667,0.6843945516666666666666666667,0.01794144,0.01025597,0.02949487
8,12,11,1,8,4,0,360,360,0.002624659166666666666666666667,0.01999463,0.3737917594859845394723355212,1505.283333333333333333333333,383.415,17.06692233333333333333333333,512.0076731666666666666666667,0.6779686541666666666666666667,0.017588525,0.01231043,0.02340938
9,12,12,0,9,3,0,360,360,0.0003858008333333333333333333333,0.00231437,0.05596689043165696162349612294,741.2708333333333333333333333,599.08,18.57391133333333333333333333,557.2173391666666666666666667,0.6749198475,0.01451753,0.0116967,0.02095296
10,12,11,1,10,2,0,360,360,0.00026820,0.00185115,0.04018426052929985320482322672,1555.8275,1078.485,20.00258466666666666666666667,600.0775375,0.6684893408333333333333333333,0.01359422,0.00849686,0.02223126
12,12,10,2,10,2,0,360,360,0.000631515,0.00505011,0.09613550622649829867203596092,2018.993333333333333333333333,1282.445,21.69707491666666666666666667,650.9122460833333333333333333,0.6598905475,0.01250654,0.00603691,0.01481353
