project_id,candidate_id,teacher_score,surrogate_score,absolute_error
P1,P1_T133,0.176875,0.176852,0.000023
P1,P1_T134,0.189176,0.187963,0.001213
P1,P1_T135,0.189176,0.187963,0.001213
P1,P1_T136,0.164574,0.165741,0.001167
P1,P1_T137,0.181622,0.182407,0.000785
P1,P1_T138,0.456247,0.474868,0.018621
P1,P1_T139,0.174069,0.176852,0.002783
P1,P1_T140,0.169321,0.161376,0.007945
P1,P1_T141,0.536439,0.547619,0.011180
P1,P1_T142,0.189176,0.187963,0.001213
P1,P1_T143,0.201477,0.199074,0.002403
P1,P1_T144,0.462463,0.476852,0.014389
P1,P1_T145,0.176650,0.279630,0.102980
P1,P1_T146,0.164574,0.165741,0.001167
P1,P1_T147,0.136166,0.142130,0.005964
P1,P1_T148,0.122672,0.131019,0.008347
P1,P1_T149,0.154972,0.158796,0.003824
P1,P1_T150,0.169321,0.171296,0.001975
P1,P1_T151,0.299909,0.310185,0.010276
P1,P1_T152,0.206225,0.194709,0.011516
P1,P1_T153,0.307402,0.306878,0.000524
P1,P1_T154,0.349580,0.362434,0.012854
P1,P1_T155,0.326039,0.341270,0.015231
P1,P1_T156,0.363809,0.384127,0.020318
P1,P1_T157,0.388744,0.444445,0.055701
P1,P1_T158,0.349316,0.375529,0.026213
P1,P1_T159,0.427230,0.429894,0.002664
P1,P1_T160,0.176650,0.170503,0.006147
P1,P1_T161,0.201477,0.199074,0.002403
P1,P1_T162,0.181622,0.172487,0.009135
P1,P1_T163,0.246685,0.237566,0.009119
P1,P1_T164,0.193924,0.183598,0.010326
P1,P1_T165,0.178816,0.182407,0.003591
P1,P1_T166,0.289575,0.251720,0.037855
P1,P1_T167,0.339888,0.329233,0.010655
P1,P1_T168,0.309932,0.295900,0.014032
P1,P1_T169,0.181622,0.172487,0.009135
P1,P1_T170,0.136166,0.147090,0.010924
P1,P1_T171,0.315448,0.324736,0.009288
P1,P1_T172,0.122672,0.131019,0.008347
P1,P1_T173,0.363568,0.397487,0.033919
P1,P1_T174,0.315433,0.321429,0.005996
P1,P1_T175,0.169321,0.161376,0.007945
P1,P1_T176,0.136166,0.137169,0.001003
P1,P1_T177,0.189176,0.178042,0.011134
P1,P1_T178,0.226080,0.211376,0.014704
P1,P1_T179,0.164574,0.165741,0.001167
P1,P1_T180,0.136166,0.137169,0.001003
P1,P1_T181,0.163156,0.159392,0.003764
P1,P1_T182,0.181962,0.285185,0.103223
P1,P1_T183,0.398876,0.429366,0.030490
P1,P1_T184,0.163156,0.159392,0.003764
P1,P1_T185,0.329809,0.384260,0.054451
P1,P1_T186,0.342144,0.349206,0.007062
P1,P1_T187,0.354150,0.388889,0.034739
P1,P1_T188,0.122672,0.131019,0.008347
P1,P1_T189,0.163156,0.159392,0.003764
P1,P1_T190,0.149661,0.153241,0.003580
P1,P1_T191,0.226080,0.211376,0.014704
P1,P1_T192,0.197446,0.193519,0.003927
P1,P1_T193,0.164574,0.155820,0.008754
P1,P1_T194,0.292845,0.257275,0.035570
P1,P1_T195,0.238381,0.222487,0.015894
P1,P1_T196,0.122672,0.129365,0.006693
P1,P1_T197,0.122672,0.135979,0.013307
P1,P1_T198,0.127983,0.131614,0.003631
P1,P1_T199,0.384173,0.417989,0.033816
P1,P1_T200,0.136166,0.137169,0.001003
P2,P2_T001,0.257910,0.237434,0.020476
P2,P2_T002,0.333980,0.400430,0.066450
P2,P2_T003,0.338988,0.384722,0.045734
P2,P2_T004,0.267665,0.236971,0.030694
P2,P2_T005,0.163156,0.268519,0.105363
P2,P2_T006,0.136166,0.246296,0.110130
P2,P2_T007,0.127983,0.240741,0.112758
P2,P2_T008,0.291903,0.303836,0.011933
P2,P2_T009,0.154972,0.262963,0.107991
P2,P2_T010,0.254359,0.258747,0.004388
P2,P2_T011,0.267665,0.260946,0.006719
P2,P2_T012,0.254359,0.258747,0.004388
P2,P2_T013,0.273869,0.270635,0.003234
P2,P2_T014,0.122672,0.235185,0.112513
P2,P2_T015,0.181962,0.285185,0.103223
P2,P2_T016,0.163156,0.268519,0.105363
P2,P2_T017,0.267665,0.275414,0.007749
P2,P2_T018,0.254359,0.209557,0.044802
P2,P2_T019,0.154972,0.262963,0.107991
P2,P2_T020,0.136166,0.246296,0.110130
P2,P2_T021,0.149661,0.257407,0.107746
P2,P2_T022,0.267665,0.281614,0.013949
P2,P2_T023,0.264114,0.255390,0.008724
P2,P2_T024,0.254359,0.258747,0.004388
P2,P2_T025,0.176732,0.279630,0.102898
P2,P2_T026,0.277419,0.248082,0.029337
P2,P2_T027,0.127983,0.240741,0.112758
P2,P2_T028,0.122672,0.235185,0.112513
P2,P2_T029,0.136166,0.246296,0.110130
P2,P2_T030,0.257910,0.264302,0.006392
P2,P2_T031,0.283624,0.306548,0.022924
P2,P2_T032,0.136166,0.246296,0.110130
P2,P2_T033,0.283624,0.285880,0.002256
P2,P2_T034,0.315405,0.362037,0.046632
P2,P2_T035,0.267665,0.224570,0.043095
P2,P2_T036,0.136166,0.246296,0.110130
P2,P2_T037,0.122672,0.235185,0.112513
P2,P2_T038,0.136166,0.246296,0.110130
P2,P2_T039,0.273869,0.244593,0.029276
P2,P2_T040,0.417981,0.460317,0.042336
P2,P2_T041,0.122672,0.235185,0.112513
P2,P2_T042,0.333980,0.400017,0.066037
P2,P2_T043,0.254359,0.244279,0.010080
P2,P2_T044,0.316909,0.324405,0.007496
P2,P2_T045,0.136166,0.246296,0.110130
P2,P2_T046,0.127983,0.240741,0.112758
P2,P2_T047,0.154972,0.262963,0.107991
P2,P2_T048,0.203640,0.301852,0.098212
P2,P2_T049,0.146789,0.257407,0.110618
P2,P2_T050,0.287174,0.252993,0.034181
P2,P2_T051,0.257910,0.205192,0.052718
P2,P2_T052,0.264114,0.226455,0.037659
P2,P2_T053,0.122672,0.235185,0.112513
P2,P2_T054,0.163156,0.268519,0.105363
P2,P2_T055,0.345639,0.353257,0.007618
P2,P2_T056,0.273869,0.230126,0.043743
P2,P2_T057,0.264114,0.226455,0.037659
P2,P2_T058,0.149661,0.257407,0.107746
P2,P2_T059,0.136166,0.246296,0.110130
P2,P2_T060,0.195456,0.296296,0.100840
P2,P2_T061,0.374368,0.376653,0.002285
P2,P2_T062,0.254359,0.220304,0.034055
P2,P2_T063,0.319255,0.378142,0.058887
P2,P2_T064,0.293378,0.259789,0.033589
P2,P2_T065,0.264114,0.276058,0.011944
P2,P2_T066,0.273869,0.281382,0.007513
P2,P2_T067,0.264114,0.255390,0.008724
P2,P2_T068,0.254359,0.228572,0.025787
P2,P2_T069,0.122672,0.235185,0.112513
P2,P2_T070,0.319255,0.368056,0.048801
P2,P2_T071,0.122672,0.235185,0.112513
P2,P2_T072,0.265011,0.216303,0.048708
P2,P2_T073,0.264114,0.255390,0.008724
P2,P2_T074,0.314397,0.334408,0.020011
P2,P2_T075,0.592577,0.571363,0.021214
P2,P2_T076,0.254359,0.215344,0.039015
P2,P2_T077,0.264114,0.219015,0.045099
P2,P2_T078,0.254359,0.244279,0.010080
P2,P2_T079,0.122672,0.202116,0.079444
P2,P2_T080,0.149661,0.257407,0.107746
P2,P2_T081,0.293378,0.303191,0.009813
P2,P2_T082,0.316909,0.321098,0.004189
P2,P2_T083,0.122672,0.235185,0.112513
P2,P2_T084,0.122672,0.235185,0.112513
P2,P2_T085,0.122672,0.235185,0.112513
P2,P2_T086,0.267665,0.216303,0.051362
P2,P2_T087,0.254359,0.258747,0.004388
P2,P2_T088,0.273869,0.281382,0.007513
P2,P2_T089,0.257910,0.270503,0.012593
P2,P2_T090,0.257910,0.234127,0.023783
P2,P2_T091,0.122672,0.235185,0.112513
P2,P2_T092,0.412892,0.471892,0.059000
P2,P2_T093,0.122672,0.235185,0.112513
P2,P2_T094,0.264114,0.269858,0.005744
P2,P2_T095,0.348705,0.411128,0.062423
P2,P2_T096,0.283624,0.292080,0.008456
P2,P2_T097,0.254359,0.258747,0.004388
P2,P2_T098,0.163156,0.268519,0.105363
P2,P2_T099,0.127983,0.240741,0.112758
P2,P2_T100,0.278317,0.253638,0.024679
P2,P2_T101,0.122672,0.235185,0.112513
P2,P2_T102,0.348904,0.381035,0.032131
P2,P2_T103,0.163156,0.268519,0.105363
P2,P2_T104,0.348904,0.376653,0.027749
P2,P2_T105,0.283624,0.325562,0.041938
P2,P2_T106,0.122672,0.235185,0.112513
P2,P2_T107,0.283624,0.325562,0.041938
P2,P2_T108,0.149661,0.221032,0.071371
P2,P2_T109,0.264114,0.231416,0.032698
P2,P2_T110,0.264114,0.269858,0.005744
P2,P2_T111,0.277419,0.292725,0.015306
P2,P2_T112,0.314397,0.334408,0.020011
P2,P2_T113,0.154972,0.262963,0.107991
P2,P2_T114,0.254359,0.199636,0.054723
P2,P2_T115,0.122672,0.235185,0.112513
P2,P2_T116,0.136166,0.246296,0.110130
P2,P2_T117,0.122672,0.235185,0.112513
P2,P2_T118,0.133294,0.246296,0.113002
P2,P2_T119,0.329122,0.405919,0.076797
P2,P2_T120,0.257910,0.231234,0.026676
P2,P2_T121,0.136166,0.246296,0.110130
P2,P2_T122,0.136166,0.246296,0.110130
P2,P2_T123,0.136166,0.246296,0.110130
P2,P2_T124,0.127983,0.240741,0.112758
P2,P2_T125,0.438356,0.500992,0.062636
P2,P2_T126,0.136166,0.246296,0.110130
P2,P2_T127,0.404181,0.424273,0.020092
P2,P2_T128,0.277419,0.309259,0.031840
P2,P2_T129,0.342144,0.348876,0.006732
P2,P2_T130,0.257910,0.215113,0.042797
