projeto,team_size_testado,metodo,modo,seed,status,AT,AC,AE,fitness_final,AE_raw_surrogate,tempo_s,must_dom_ok,must_eco_ok,must_ling_ok,all_must_ok,dom_score,eco_score,ling_score,pc_score,pc_label,best_generation,gens_executed,stop_reason,population_size,generations,elitism_count,mutation_rate,crossover_rate,stable_gens,crossover_operator
P1,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,21,OK,0.7857144444444444,0.8666666666666667,0.7992064814814815,0.7992064814814815,0.7992064814814815,13.611728,True,True,True,True,0.6428575,0.5,0.9285715,0.8666666666666668,VH,53,73,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P1,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,22,OK,0.7857144444444444,0.8666666666666667,0.7992064814814815,0.7992064814814815,0.7992064814814815,10.95797,True,True,True,True,0.6428575,0.5,0.9285715,0.8666666666666668,VH,35,55,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P1,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,23,OK,0.7857144444444444,0.8666666666666667,0.7992064814814815,0.7992064814814815,0.7992064814814815,11.586679,True,True,True,True,0.6428575,0.5,0.9285715,0.8666666666666668,VH,41,61,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P1,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,24,OK,0.7857144444444444,0.8333333333333334,0.7936509259259258,0.7936509259259258,0.7936509259259258,7.611838,True,True,True,True,0.6428575,0.5,0.9285715,0.8666666666666668,VH,19,39,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P1,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,25,OK,0.84127,0.6666666666666666,0.6957672222222221,0.6957672222222221,0.6957672222222221,8.247511,True,True,True,True,0.6428575,1.0,0.9285715,0.6666666666666666,H,22,42,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P1,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,26,OK,0.9126985,0.8,0.8187830833333334,0.8187830833333334,0.8187830833333334,8.343775,True,True,True,True,0.857143,1.0,0.9285715,0.8,VH,21,41,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P1,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,27,OK,0.7857144444444444,0.9,0.8047620370370371,0.8047620370370371,0.8047620370370371,6.785001,True,True,True,True,0.6428575,0.5,0.9285715,0.9,VH,16,36,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P1,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,28,OK,0.9285714999999999,0.7666666666666666,0.7936508055555554,0.7936508055555554,0.7936508055555554,5.326737,True,True,True,True,0.7857145,1.0,1.0,0.8,VH,7,27,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P1,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,29,OK,0.7857144444444444,0.7333333333333333,0.7420635185185184,0.7420635185185184,0.7420635185185184,13.157287,True,True,True,True,0.6428575,0.5,0.9285715,0.7666666666666666,H,55,75,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P1,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,30,OK,0.9126985,0.8,0.8187830833333334,0.8187830833333334,0.8187830833333334,11.713031,True,True,True,True,0.857143,1.0,0.9285715,0.8,VH,43,63,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P2,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,1,OK,0.7380955,0.6333333333333333,0.6507936944444445,0.6507936944444445,0.6507936944444445,6.64312,True,True,True,True,0.857143,0.857143,0.6428575,0.6,M,14,34,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P2,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,2,OK,0.952381,0.6666666666666666,0.7142857222222222,0.7142857222222222,0.7142857222222222,8.527897,True,True,True,True,0.857143,1.0,1.0,0.6666666666666666,H,27,47,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P2,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,3,OK,0.8333335,0.9,0.8444445833333334,0.8444445833333334,0.8444445833333334,14.712207,True,True,True,True,0.857143,0.6428575,0.857143,0.9,VH,58,78,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P2,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,4,OK,0.7380955,0.5666666666666667,0.5952381388888889,0.5952381388888889,0.5952381388888889,6.558477,True,True,True,True,0.857143,0.857143,0.6428575,0.4666666666666667,M,14,34,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P2,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,5,OK,0.7380955,0.6333333333333333,0.6507936944444445,0.6507936944444445,0.6507936944444445,9.129283,True,True,True,True,0.857143,0.857143,0.6428575,0.7333333333333336,H,31,51,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
